Step,AgentID,State
0,"(0, 0)",-1
0,"(0, 2)",-1
0,"(0, 3)",-1
0,"(0, 4)",-1
0,"(0, 6)",-1
0,"(0, 7)",-1
0,"(0, 10)",-1
0,"(0, 12)",-1
0,"(0, 13)",-1
0,"(0, 16)",-1
0,"(0, 17)",-1
0,"(0, 19)",-1
0,"(0, 20)",-1
0,"(0, 23)",-1
0,"(0, 24)",-1
0,"(0, 26)",-1
0,"(0, 27)",-1
0,"(0, 28)",-1
0,"(0, 31)",-1
0,"(0, 32)",-1
0,"(0, 33)",-1
0,"(0, 35)",-1
0,"(0, 36)",-1
0,"(0, 37)",-1
0,"(0, 38)",-1
0,"(0, 39)",-1
0,"(0, 40)",-1
0,"(0, 41)",-1
0,"(0, 42)",-1
0,"(0, 43)",-1
0,"(0, 44)",-1
0,"(0, 46)",-1
0,"(0, 47)",-1
0,"(0, 48)",-1
0,"(0, 49)",-1
0,"(0, 51)",-1
0,"(0, 52)",-1
0,"(0, 53)",-1
0,"(0, 54)",-1
0,"(0, 55)",-1
0,"(0, 56)",-1
0,"(0, 57)",-1
0,"(0, 58)",-1
0,"(0, 59)",-1
0,"(0, 61)",-1
0,"(0, 62)",-1
0,"(0, 64)",-1
0,"(0, 68)",-1
0,"(0, 69)",-1
0,"(0, 71)",-1
0,"(0, 73)",-1
0,"(0, 78)",-1
0,"(0, 81)",-1
0,"(0, 82)",-1
0,"(0, 84)",-1
0,"(0, 85)",-1
0,"(0, 87)",-1
0,"(0, 88)",-1
0,"(0, 89)",-1
0,"(0, 91)",-1
0,"(0, 92)",-1
0,"(0, 93)",-1
0,"(0, 94)",-1
0,"(0, 95)",-1
0,"(0, 96)",-1
0,"(0, 97)",-1
0,"(1, 0)",-1
0,"(1, 2)",-1
0,"(1, 3)",-1
0,"(1, 4)",-1
0,"(1, 5)",-1
0,"(1, 6)",-1
0,"(1, 7)",-1
0,"(1, 8)",-1
0,"(1, 9)",-1
0,"(1, 11)",-1
0,"(1, 12)",-1
0,"(1, 13)",-1
0,"(1, 15)",-1
0,"(1, 16)",-1
0,"(1, 18)",-1
0,"(1, 20)",-1
0,"(1, 21)",-1
0,"(1, 23)",-1
0,"(1, 24)",-1
0,"(1, 25)",-1
0,"(1, 26)",-1
0,"(1, 27)",-1
0,"(1, 28)",-1
0,"(1, 29)",-1
0,"(1, 30)",-1
0,"(1, 33)",-1
0,"(1, 34)",-1
0,"(1, 36)",-1
0,"(1, 38)",-1
0,"(1, 39)",-1
0,"(1, 44)",-1
0,"(1, 45)",-1
0,"(1, 46)",-1
0,"(1, 48)",-1
0,"(1, 49)",-1
0,"(1, 50)",-1
0,"(1, 52)",-1
0,"(1, 54)",-1
0,"(1, 55)",-1
0,"(1, 58)",-1
0,"(1, 59)",-1
0,"(1, 60)",-1
0,"(1, 62)",-1
0,"(1, 63)",-1
0,"(1, 64)",-1
0,"(1, 65)",-1
0,"(1, 66)",-1
0,"(1, 69)",-1
0,"(1, 70)",-1
0,"(1, 76)",-1
0,"(1, 77)",-1
0,"(1, 79)",-1
0,"(1, 81)",-1
0,"(1, 82)",-1
0,"(1, 85)",-1
0,"(1, 88)",-1
0,"(1, 89)",-1
0,"(1, 91)",-1
0,"(1, 92)",-1
0,"(1, 93)",-1
0,"(1, 94)",-1
0,"(1, 96)",-1
0,"(1, 97)",-1
0,"(1, 98)",-1
0,"(1, 99)",-1
0,"(2, 1)",-1
0,"(2, 2)",-1
0,"(2, 3)",-1
0,"(2, 5)",-1
0,"(2, 6)",-1
0,"(2, 7)",-1
0,"(2, 10)",-1
0,"(2, 11)",-1
0,"(2, 12)",-1
0,"(2, 13)",-1
0,"(2, 14)",-1
0,"(2, 15)",-1
0,"(2, 16)",-1
0,"(2, 19)",-1
0,"(2, 23)",-1
0,"(2, 26)",-1
0,"(2, 27)",-1
0,"(2, 28)",-1
0,"(2, 30)",-1
0,"(2, 31)",-1
0,"(2, 32)",-1
0,"(2, 33)",-1
0,"(2, 34)",-1
0,"(2, 35)",-1
0,"(2, 36)",-1
0,"(2, 37)",-1
0,"(2, 39)",-1
0,"(2, 40)",-1
0,"(2, 41)",-1
0,"(2, 42)",-1
0,"(2, 43)",-1
0,"(2, 46)",-1
0,"(2, 47)",-1
0,"(2, 48)",-1
0,"(2, 49)",-1
0,"(2, 50)",-1
0,"(2, 51)",-1
0,"(2, 52)",-1
0,"(2, 54)",-1
0,"(2, 56)",-1
0,"(2, 59)",-1
0,"(2, 62)",-1
0,"(2, 63)",-1
0,"(2, 64)",-1
0,"(2, 65)",-1
0,"(2, 66)",-1
0,"(2, 67)",-1
0,"(2, 69)",-1
0,"(2, 71)",-1
0,"(2, 73)",-1
0,"(2, 74)",-1
0,"(2, 75)",-1
0,"(2, 78)",-1
0,"(2, 80)",-1
0,"(2, 82)",-1
0,"(2, 84)",-1
0,"(2, 85)",-1
0,"(2, 86)",-1
0,"(2, 87)",-1
0,"(2, 90)",-1
0,"(2, 91)",-1
0,"(2, 92)",-1
0,"(2, 93)",-1
0,"(2, 94)",-1
0,"(2, 97)",-1
0,"(2, 98)",-1
0,"(2, 99)",-1
0,"(3, 1)",-1
0,"(3, 3)",-1
0,"(3, 6)",-1
0,"(3, 7)",-1
0,"(3, 8)",-1
0,"(3, 10)",-1
0,"(3, 11)",-1
0,"(3, 12)",-1
0,"(3, 13)",-1
0,"(3, 14)",-1
0,"(3, 15)",-1
0,"(3, 17)",-1
0,"(3, 19)",-1
0,"(3, 24)",-1
0,"(3, 26)",-1
0,"(3, 32)",-1
0,"(3, 34)",-1
0,"(3, 35)",-1
0,"(3, 37)",-1
0,"(3, 38)",-1
0,"(3, 39)",-1
0,"(3, 42)",-1
0,"(3, 45)",-1
0,"(3, 46)",-1
0,"(3, 48)",-1
0,"(3, 49)",-1
0,"(3, 52)",-1
0,"(3, 53)",-1
0,"(3, 54)",-1
0,"(3, 55)",-1
0,"(3, 56)",-1
0,"(3, 57)",-1
0,"(3, 58)",-1
0,"(3, 61)",-1
0,"(3, 62)",-1
0,"(3, 63)",-1
0,"(3, 66)",-1
0,"(3, 67)",-1
0,"(3, 68)",-1
0,"(3, 70)",-1
0,"(3, 76)",-1
0,"(3, 77)",-1
0,"(3, 79)",-1
0,"(3, 80)",-1
0,"(3, 81)",-1
