Step,AgentID,Steps to fire up
3,"(0, 0)",0
3,"(0, 1)",0
3,"(0, 2)",0
3,"(0, 4)",0
3,"(0, 5)",0
3,"(0, 7)",0
3,"(0, 8)",0
3,"(0, 9)",0
3,"(0, 10)",0
3,"(0, 11)",0
3,"(0, 12)",0
3,"(0, 13)",0
3,"(0, 14)",0
3,"(0, 16)",0
3,"(0, 18)",0
3,"(0, 19)",0
3,"(0, 20)",0
3,"(0, 21)",0
3,"(0, 22)",0
3,"(0, 23)",0
3,"(0, 24)",0
3,"(0, 25)",0
3,"(0, 26)",0
3,"(0, 27)",0
3,"(0, 28)",0
3,"(0, 29)",0
3,"(0, 30)",0
3,"(0, 31)",0
3,"(0, 32)",0
3,"(0, 33)",0
3,"(0, 34)",0
3,"(0, 35)",0
3,"(0, 37)",0
3,"(0, 38)",0
3,"(0, 39)",0
3,"(0, 40)",0
3,"(0, 41)",0
3,"(0, 42)",0
3,"(0, 45)",0
3,"(0, 46)",0
3,"(0, 47)",0
3,"(0, 48)",0
3,"(0, 49)",0
3,"(0, 50)",0
3,"(0, 52)",0
3,"(0, 53)",0
3,"(0, 54)",0
3,"(0, 55)",0
3,"(0, 56)",0
3,"(0, 58)",0
3,"(0, 59)",0
3,"(0, 60)",0
3,"(0, 61)",0
3,"(0, 63)",0
3,"(0, 64)",0
3,"(0, 67)",0
3,"(0, 70)",0
3,"(0, 71)",0
3,"(0, 72)",0
3,"(0, 73)",0
3,"(0, 74)",0
3,"(0, 75)",0
3,"(0, 76)",0
3,"(0, 77)",0
3,"(0, 78)",0
3,"(0, 79)",0
3,"(0, 81)",0
3,"(0, 82)",0
3,"(0, 83)",0
3,"(0, 84)",0
3,"(0, 86)",0
3,"(0, 87)",0
3,"(0, 88)",0
3,"(0, 89)",0
3,"(0, 90)",0
3,"(0, 91)",0
3,"(0, 92)",0
3,"(0, 94)",0
3,"(0, 95)",0
3,"(0, 96)",0
3,"(0, 97)",0
3,"(0, 98)",0
3,"(0, 99)",0
3,"(1, 3)",-1
3,"(1, 4)",-1
3,"(1, 5)",-1
3,"(1, 6)",1
3,"(1, 7)",1
3,"(1, 8)",1
3,"(1, 9)",1
3,"(1, 11)",-1
3,"(1, 12)",-1
3,"(1, 13)",-1
3,"(1, 14)",-1
3,"(1, 16)",-1
3,"(1, 17)",-1
3,"(1, 18)",1
3,"(1, 19)",-1
3,"(1, 20)",1
3,"(1, 21)",1
3,"(1, 22)",1
3,"(1, 23)",1
3,"(1, 24)",2
3,"(1, 25)",-1
3,"(1, 27)",1
3,"(1, 28)",1
3,"(1, 30)",-1
3,"(1, 32)",1
3,"(1, 33)",1
3,"(1, 35)",-1
3,"(1, 36)",-1
3,"(1, 39)",-1
3,"(1, 40)",-1
3,"(1, 41)",-1
3,"(1, 42)",-1
3,"(1, 43)",-1
3,"(1, 45)",1
3,"(1, 46)",1
3,"(1, 47)",-1
3,"(1, 49)",-1
3,"(1, 52)",-1
3,"(1, 53)",-1
3,"(1, 54)",-1
3,"(1, 55)",-1
3,"(1, 56)",-1
3,"(1, 57)",-1
3,"(1, 58)",1
3,"(1, 59)",1
3,"(1, 60)",1
3,"(1, 61)",-1
3,"(1, 62)",-1
3,"(1, 63)",-1
3,"(1, 64)",-1
3,"(1, 65)",-1
3,"(1, 66)",-1
3,"(1, 67)",-1
3,"(1, 68)",-1
3,"(1, 69)",-1
3,"(1, 70)",-1
3,"(1, 71)",-1
3,"(1, 72)",-1
3,"(1, 73)",-1
3,"(1, 75)",1
3,"(1, 76)",1
3,"(1, 78)",-1
3,"(1, 80)",-1
3,"(1, 81)",-1
3,"(1, 82)",-1
3,"(1, 83)",-1
3,"(1, 84)",-1
3,"(1, 85)",-1
3,"(1, 86)",1
3,"(1, 87)",1
3,"(1, 88)",1
3,"(1, 90)",1
3,"(1, 91)",1
3,"(1, 93)",1
3,"(1, 94)",1
3,"(1, 95)",-1
3,"(1, 96)",1
3,"(1, 97)",-1
3,"(2, 1)",-1
3,"(2, 2)",-1
3,"(2, 3)",-1
3,"(2, 5)",-1
3,"(2, 6)",-1
3,"(2, 8)",-1
3,"(2, 9)",-1
3,"(2, 10)",-1
3,"(2, 11)",-1
3,"(2, 12)",-1
3,"(2, 13)",-1
3,"(2, 14)",-1
3,"(2, 15)",-1
3,"(2, 16)",-1
3,"(2, 17)",-1
3,"(2, 18)",-1
3,"(2, 20)",-1
3,"(2, 21)",-1
3,"(2, 22)",2
3,"(2, 23)",2
3,"(2, 24)",2
3,"(2, 25)",-1
3,"(2, 26)",-1
3,"(2, 28)",2
3,"(2, 30)",-1
3,"(2, 31)",-1
3,"(2, 32)",-1
3,"(2, 33)",-1
3,"(2, 34)",-1
3,"(2, 35)",-1
3,"(2, 36)",-1
3,"(2, 37)",-1
3,"(2, 38)",-1
3,"(2, 40)",-1
3,"(2, 44)",-1
3,"(2, 46)",-1
3,"(2, 48)",-1
3,"(2, 49)",-1
3,"(2, 50)",-1
3,"(2, 51)",-1
3,"(2, 52)",-1
3,"(2, 53)",-1
3,"(2, 54)",-1
3,"(2, 55)",-1
3,"(2, 56)",-1
3,"(2, 57)",-1
3,"(2, 58)",-1
3,"(2, 59)",-1
3,"(2, 60)",-1
3,"(2, 61)",-1
3,"(2, 62)",-1
3,"(2, 63)",-1
3,"(2, 64)",-1
3,"(2, 65)",-1
3,"(2, 67)",-1
3,"(2, 68)",-1
3,"(2, 69)",-1
3,"(2, 70)",-1
3,"(2, 72)",-1
3,"(2, 73)",-1
3,"(2, 74)",-1
3,"(2, 75)",-1
3,"(2, 76)",-1
3,"(2, 77)",-1
3,"(2, 78)",-1
3,"(2, 80)",-1
3,"(2, 82)",-1
3,"(2, 83)",-1
3,"(2, 84)",-1
3,"(2, 87)",-1
3,"(2, 88)",-1
3,"(2, 90)",-1
3,"(2, 91)",-1
3,"(2, 93)",-1
3,"(2, 95)",-1
3,"(2, 96)",-1
3,"(2, 97)",-1
3,"(2, 98)",-1
3,"(2, 99)",-1
3,"(3, 0)",-1
3,"(3, 1)",-1
3,"(3, 3)",-1
3,"(3, 4)",-1
3,"(3, 5)",-1
3,"(3, 7)",-1
3,"(3, 8)",-1
3,"(3, 9)",-1
3,"(3, 13)",-1
3,"(3, 17)",-1
3,"(3, 18)",-1
3,"(3, 19)",-1
3,"(3, 20)",-1
3,"(3, 21)",-1
3,"(3, 22)",-1
3,"(3, 23)",2
3,"(3, 25)",-1
3,"(3, 26)",-1
3,"(3, 27)",-1
3,"(3, 28)",3
3,"(3, 30)",-1
3,"(3, 31)",-1
3,"(3, 32)",-1
3,"(3, 33)",-1
3,"(3, 34)",-1
3,"(3, 37)",-1
3,"(3, 39)",-1
3,"(3, 40)",-1
3,"(3, 41)",-1
3,"(3, 42)",-1
3,"(3, 43)",-1
3,"(3, 45)",-1
3,"(3, 46)",-1
3,"(3, 47)",-1
3,"(3, 48)",-1
3,"(3, 49)",-1
3,"(3, 50)",-1
3,"(3, 51)",-1
3,"(3, 52)",-1
3,"(3, 53)",-1
3,"(3, 54)",-1
3,"(3, 55)",-1
3,"(3, 56)",-1
3,"(3, 57)",-1
3,"(3, 58)",-1
3,"(3, 60)",-1
3,"(3, 61)",-1
3,"(3, 63)",-1
3,"(3, 64)",-1
3,"(3, 66)",-1
3,"(3, 68)",-1
3,"(3, 69)",-1
3,"(3, 70)",-1
3,"(3, 71)",-1
3,"(3, 72)",-1
3,"(3, 73)",-1
3,"(3, 74)",-1
3,"(3, 75)",-1
3,"(3, 76)",-1
3,"(3, 77)",-1
3,"(3, 78)",-1
3,"(3, 79)",-1
3,"(3, 80)",-1
3,"(3, 81)",-1
3,"(3, 82)",-1
3,"(3, 84)",-1
3,"(3, 85)",-1
3,"(3, 86)",-1
3,"(3, 87)",-1
3,"(3, 88)",-1
3,"(3, 89)",-1
3,"(3, 91)",-1
3,"(3, 93)",-1
3,"(3, 94)",-1
3,"(3, 95)",-1
3,"(3, 97)",-1
3,"(3, 98)",-1
3,"(3, 99)",-1
3,"(4, 0)",-1
3,"(4, 1)",-1
3,"(4, 2)",-1
3,"(4, 3)",-1
3,"(4, 4)",-1
3,"(4, 5)",-1
