Step,AgentID,Width,Height,Density,Humidity ,Steps to fire up
66,"(0, 0)",100,100,0.55,0.32,0
66,"(0, 1)",100,100,0.55,0.32,0
66,"(0, 2)",100,100,0.55,0.32,0
66,"(0, 6)",100,100,0.55,0.32,0
66,"(0, 7)",100,100,0.55,0.32,0
66,"(0, 10)",100,100,0.55,0.32,0
66,"(0, 11)",100,100,0.55,0.32,0
66,"(0, 13)",100,100,0.55,0.32,0
66,"(0, 14)",100,100,0.55,0.32,0
66,"(0, 15)",100,100,0.55,0.32,0
66,"(0, 16)",100,100,0.55,0.32,0
66,"(0, 17)",100,100,0.55,0.32,0
66,"(0, 20)",100,100,0.55,0.32,0
66,"(0, 22)",100,100,0.55,0.32,0
66,"(0, 23)",100,100,0.55,0.32,0
66,"(0, 26)",100,100,0.55,0.32,0
66,"(0, 27)",100,100,0.55,0.32,0
66,"(0, 28)",100,100,0.55,0.32,0
66,"(0, 29)",100,100,0.55,0.32,0
66,"(0, 30)",100,100,0.55,0.32,0
66,"(0, 31)",100,100,0.55,0.32,0
66,"(0, 34)",100,100,0.55,0.32,0
66,"(0, 35)",100,100,0.55,0.32,0
66,"(0, 37)",100,100,0.55,0.32,0
66,"(0, 38)",100,100,0.55,0.32,0
66,"(0, 39)",100,100,0.55,0.32,0
66,"(0, 42)",100,100,0.55,0.32,0
66,"(0, 44)",100,100,0.55,0.32,0
66,"(0, 48)",100,100,0.55,0.32,0
66,"(0, 49)",100,100,0.55,0.32,0
66,"(0, 50)",100,100,0.55,0.32,0
66,"(0, 52)",100,100,0.55,0.32,0
66,"(0, 53)",100,100,0.55,0.32,0
66,"(0, 55)",100,100,0.55,0.32,0
66,"(0, 57)",100,100,0.55,0.32,0
66,"(0, 58)",100,100,0.55,0.32,0
66,"(0, 59)",100,100,0.55,0.32,0
66,"(0, 61)",100,100,0.55,0.32,0
66,"(0, 62)",100,100,0.55,0.32,0
66,"(0, 64)",100,100,0.55,0.32,0
66,"(0, 65)",100,100,0.55,0.32,0
66,"(0, 68)",100,100,0.55,0.32,0
66,"(0, 72)",100,100,0.55,0.32,0
66,"(0, 76)",100,100,0.55,0.32,0
66,"(0, 78)",100,100,0.55,0.32,0
66,"(0, 79)",100,100,0.55,0.32,0
66,"(0, 81)",100,100,0.55,0.32,0
66,"(0, 84)",100,100,0.55,0.32,0
66,"(0, 85)",100,100,0.55,0.32,0
66,"(0, 87)",100,100,0.55,0.32,0
66,"(0, 88)",100,100,0.55,0.32,0
66,"(0, 90)",100,100,0.55,0.32,0
66,"(0, 93)",100,100,0.55,0.32,0
