,Width,Height,Density,Humidity ,Fine,On Fire,Burned Out,# Fine Clusteres,Av. Fine Clusteres Size,# Burned Out Clusteres,Av. Burned Out Clusteres Size
0,100,100,0.55,0.32,5426,62,0,15,361.7,0,0
1,100,100,0.55,0.32,5346,39,103,17,314.5,17,6.1
2,100,100,0.55,0.32,5269,42,177,17,309.9,11,16.1
3,100,100,0.55,0.32,5192,41,255,21,247.2,8,31.9
4,100,100,0.55,0.32,5133,33,322,17,301.9,7,46.0
5,100,100,0.55,0.32,5067,37,384,22,230.3,7,54.9
6,100,100,0.55,0.32,4995,40,453,24,208.1,7,64.7
7,100,100,0.55,0.32,4923,40,525,25,196.9,7,75.0
8,100,100,0.55,0.32,4849,38,601,33,146.9,6,100.2
9,100,100,0.55,0.32,4804,23,661,31,155.0,5,132.2
10,100,100,0.55,0.32,4756,26,706,32,148.6,5,141.2
11,100,100,0.55,0.32,4719,23,746,35,134.8,5,149.2
12,100,100,0.55,0.32,4662,32,794,39,119.5,5,158.8
13,100,100,0.55,0.32,4583,41,864,39,117.5,5,172.8
14,100,100,0.55,0.32,4507,44,937,44,102.4,5,187.4
15,100,100,0.55,0.32,4430,40,1018,47,94.3,5,203.6
16,100,100,0.55,0.32,4365,30,1093,48,90.9,4,273.2
17,100,100,0.55,0.32,4308,32,1148,52,82.8,4,287.0
18,100,100,0.55,0.32,4251,31,1206,53,80.2,4,301.5
19,100,100,0.55,0.32,4187,34,1267,56,74.8,4,316.8
20,100,100,0.55,0.32,4090,49,1349,59,69.3,4,337.2
21,100,100,0.55,0.32,4029,36,1423,63,64.0,4,355.8
22,100,100,0.55,0.32,3952,37,1499,64,61.8,4,374.8
23,100,100,0.55,0.32,3873,38,1577,64,60.5,4,394.2
24,100,100,0.55,0.32,3843,18,1627,61,63.0,4,406.8
25,100,100,0.55,0.32,3798,25,1665,65,58.4,4,416.2
26,100,100,0.55,0.32,3745,34,1709,64,58.5,4,427.2
27,100,100,0.55,0.32,3677,40,1771,71,51.8,4,442.8
28,100,100,0.55,0.32,3613,38,1837,75,48.2,4,459.2
29,100,100,0.55,0.32,3538,39,1911,72,49.1,4,477.8
30,100,100,0.55,0.32,3464,39,1985,76,45.6,4,496.2
31,100,100,0.55,0.32,3417,32,2039,75,45.6,4,509.8
32,100,100,0.55,0.32,3362,29,2097,74,45.4,4,524.2
33,100,100,0.55,0.32,3326,23,2139,77,43.2,4,534.8
34,100,100,0.55,0.32,3291,22,2175,80,41.1,4,543.8
35,100,100,0.55,0.32,3241,28,2219,79,41.0,4,554.8
36,100,100,0.55,0.32,3185,34,2269,82,38.8,4,567.2
37,100,100,0.55,0.32,3119,36,2333,82,38.0,4,583.2
38,100,100,0.55,0.32,3032,51,2405,87,34.9,4,601.2
39,100,100,0.55,0.32,2930,44,2514,87,33.7,4,628.5
40,100,100,0.55,0.32,2849,42,2597,94,30.3,4,649.2
41,100,100,0.55,0.32,2780,46,2662,94,29.6,4,665.5
42,100,100,0.55,0.32,2718,36,2734,98,27.7,4,683.5
43,100,100,0.55,0.32,2661,32,2795,104,25.6,4,698.8
44,100,100,0.55,0.32,2574,48,2866,106,24.3,4,716.5
45,100,100,0.55,0.32,2484,46,2958,104,23.9,4,739.5
46,100,100,0.55,0.32,2396,52,3040,112,21.4,4,760.0
47,100,100,0.55,0.32,2314,47,3127,111,20.8,4,781.8
48,100,100,0.55,0.32,2222,50,3216,113,19.7,4,804.0
49,100,100,0.55,0.32,2149,40,3299,115,18.7,4,824.8
50,100,100,0.55,0.32,2071,42,3375,113,18.3,4,843.8
51,100,100,0.55,0.32,1996,39,3453,112,17.8,4,863.2
52,100,100,0.55,0.32,1927,35,3526,115,16.8,4,881.5
53,100,100,0.55,0.32,1863,33,3592,121,15.4,4,898.0
54,100,100,0.55,0.32,1812,31,3645,121,15.0,4,911.2
55,100,100,0.55,0.32,1788,17,3683,121,14.8,4,920.8
56,100,100,0.55,0.32,1752,21,3715,120,14.6,4,928.8
57,100,100,0.55,0.32,1714,17,3757,124,13.8,4,939.2
58,100,100,0.55,0.32,1659,30,3799,125,13.3,4,949.8
59,100,100,0.55,0.32,1615,35,3838,123,13.1,4,959.5
60,100,100,0.55,0.32,1575,23,3890,127,12.4,4,972.5
61,100,100,0.55,0.32,1540,20,3928,127,12.1,4,982.0
62,100,100,0.55,0.32,1501,24,3963,134,11.2,4,990.8
63,100,100,0.55,0.32,1466,18,4004,132,11.1,4,1001.0
64,100,100,0.55,0.32,1429,20,4039,134,10.7,4,1009.8
65,100,100,0.55,0.32,1388,26,4074,137,10.1,4,1018.5
66,100,100,0.55,0.32,1363,15,4110,138,9.9,4,1027.5
67,100,100,0.55,0.32,1339,10,4139,138,9.7,4,1034.8
68,100,100,0.55,0.32,1328,5,4155,137,9.7,4,1038.8
69,100,100,0.55,0.32,1316,9,4163,140,9.4,4,1040.8
70,100,100,0.55,0.32,1298,10,4180,141,9.2,4,1045.0
71,100,100,0.55,0.32,1274,15,4199,145,8.8,4,1049.8
72,100,100,0.55,0.32,1252,8,4228,147,8.5,4,1057.0
73,100,100,0.55,0.32,1223,16,4249,143,8.6,4,1062.2
74,100,100,0.55,0.32,1211,6,4271,144,8.4,4,1067.8
75,100,100,0.55,0.32,1200,6,4282,147,8.2,4,1070.5
76,100,100,0.55,0.32,1192,4,4292,146,8.2,4,1073.0
77,100,100,0.55,0.32,1186,5,4297,145,8.2,4,1074.2
78,100,100,0.55,0.32,1183,1,4304,146,8.1,4,1076.0
79,100,100,0.55,0.32,1181,1,4306,145,8.1,4,1076.5
80,100,100,0.55,0.32,1181,0,4307,145,8.1,4,1076.8
